Material,Categoría de impacto,Abreviación,Unidad,A1-A3,A1,A2,A3
Panel metálico para muros HWALL marca METENCO,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.02,0.022,0.001,0.00135
Panel metálico para muros HWALL marca METENCO,Potencial de Acidificación,PA,kg SO2 eq,0.29,0.243,0.0291,0.0197
Panel metálico para muros HWALL marca METENCO,Potencial de Eutrofización,PE,kg PO4 eq,0.12,0.116,0.00451,0.00366
Panel metálico para muros HWALL marca METENCO,Potencial de escasez de agua,EA,m3 eq,0.00,,,
Panel metálico para muros HWALL marca METENCO,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel metálico para muros HWALL marca METENCO,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel metálico para muros HWALL marca METENCO,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico para muros HWALL marca METENCO,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel metálico para muros HWALL marca METENCO,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico para muros HWALL marca METENCO,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico para muros SUPERWALL (141-B) marca METENCO,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00341,0.00000707,0.00000218
Panel metálico para muros SUPERWALL (141-B) marca METENCO,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,558.30,439,47.9,71.4
Panel metálico para muros SUPERWALL (141-B) marca METENCO,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,40.74,33.9,3.09,3.75
Panel metálico para muros SUPERWALL (141-B) marca METENCO,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.00000171,0.000000543,0.000000137
Panel metálico para muros SUPERWALL (141-B) marca METENCO,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.02,0.0163,0.001,0.00128
Panel metálico para muros SUPERWALL (141-B) marca METENCO,Potencial de Acidificación,PA,kg SO2 eq,0.22,0.175,0.0291,0.0204
Panel metálico para muros SUPERWALL (141-B) marca METENCO,Potencial de Eutrofización,PE,kg PO4 eq,3.65,0.0889,0.00451,3.56
Panel metálico para muros SUPERWALL (141-B) marca METENCO,Potencial de escasez de agua,EA,m3 eq,0.00,,,
Panel metálico para muros SUPERWALL (141-B) marca METENCO,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel metálico para muros SUPERWALL (141-B) marca METENCO,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel metálico para muros SUPERWALL (141-B) marca METENCO,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico para muros SUPERWALL (141-B) marca METENCO,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel metálico para muros SUPERWALL (141-B) marca METENCO,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico para muros SUPERWALL (141-B) marca METENCO,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho de grupo Acerero,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,4.26E-13,0.000145,0.00069
Varilla corrugada fabricada con material de desecho de grupo Acerero,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,13475.90,4.63E-13,1145.7,12330.2
Varilla corrugada fabricada con material de desecho de grupo Acerero,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1747.60,9.34E-13,81.8,1665.8
Varilla corrugada fabricada con material de desecho de grupo Acerero,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,8.01E-20,0.0000178,0.0000157
Varilla corrugada fabricada con material de desecho de grupo Acerero,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.20,9.65E-17,0.026,0.178
Varilla corrugada fabricada con material de desecho de grupo Acerero,Potencial de Acidificación,PA,kg SO2 eq,4.54,3.10E-16,0.673,3.87
Varilla corrugada fabricada con material de desecho de grupo Acerero,Potencial de Eutrofización,PE,kg N eq,0.65,7.29E-17,0.114,0.537
Varilla corrugada fabricada con material de desecho de grupo Acerero,Potencial de escasez de agua,EA,m3 eq,0.00,,,
Varilla corrugada fabricada con material de desecho de grupo Acerero,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Varilla corrugada fabricada con material de desecho de grupo Acerero,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Varilla corrugada fabricada con material de desecho de grupo Acerero,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho de grupo Acerero,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho de grupo Acerero,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho de grupo Acerero,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho marca DEACERO,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.000136,0.0000689,0.0000353
Varilla corrugada fabricada con material de desecho marca DEACERO,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,9012.00,7780,411,821
Varilla corrugada fabricada con material de desecho marca DEACERO,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,626.50,356,26.5,244
Varilla corrugada fabricada con material de desecho marca DEACERO,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000054,0.00000465,0.0000458
Varilla corrugada fabricada con material de desecho marca DEACERO,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.63,0.54,0.00506,0.0862
Varilla corrugada fabricada con material de desecho marca DEACERO,Potencial de Acidificación,PA,kg SO2 eq,4.57,3.88,0.129,0.558
Varilla corrugada fabricada con material de desecho marca DEACERO,Potencial de Eutrofización,PE,kg PO4 eq,0.31,0.199,0.0305,0.0807
Varilla corrugada fabricada con material de desecho marca DEACERO,Potencial de escasez de agua,EA,m3 eq,34.90,11.6,0.8,22.5
Varilla corrugada fabricada con material de desecho marca DEACERO,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Varilla corrugada fabricada con material de desecho marca DEACERO,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Varilla corrugada fabricada con material de desecho marca DEACERO,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho marca DEACERO,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho marca DEACERO,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho marca DEACERO,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Alambrón de acero fabricado con material de desecho marca DEACERO,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.000186,0.0000335,0.00000604
Alambrón de acero fabricado con material de desecho marca DEACERO,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,12409.00,11584,295,530
Alambrón de acero fabricado con material de desecho marca DEACERO,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,929.00,582,19,328
Alambrón de acero fabricado con material de desecho marca DEACERO,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.0000727,0.00000325,0.0000036
Alambrón de acero fabricado con material de desecho marca DEACERO,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.64,0.59,0,0.05
Alambrón de acero fabricado con material de desecho marca DEACERO,Potencial de Acidificación,PA,kg SO2 eq,5.60,5.1,0.1,0.4
Alambrón de acero fabricado con material de desecho marca DEACERO,Potencial de Eutrofización,PE,kg PO4 eq,0.60,0.6,0,0
Alambrón de acero fabricado con material de desecho marca DEACERO,Potencial de escasez de agua,EA,m3 eq,171.90,82,1.3,88.6
Alambrón de acero fabricado con material de desecho marca DEACERO,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Alambrón de acero fabricado con material de desecho marca DEACERO,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Alambrón de acero fabricado con material de desecho marca DEACERO,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Alambrón de acero fabricado con material de desecho marca DEACERO,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Alambrón de acero fabricado con material de desecho marca DEACERO,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Alambrón de acero fabricado con material de desecho marca DEACERO,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Alambre galvanizado fabricado con material de desecho marca DEACERO,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.43,0.431,6.11E-06,0.0000689
Alambre galvanizado fabricado con material de desecho marca DEACERO,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,21356.00,21096,49,211
Alambre galvanizado fabricado con material de desecho marca DEACERO,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1517.00,1479,3,35
Alambre galvanizado fabricado con material de desecho marca DEACERO,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.00013,0.000000564,0.00000274
Alambre galvanizado fabricado con material de desecho marca DEACERO,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,1.25,1.23,0,0.02
Alambre galvanizado fabricado con material de desecho marca DEACERO,Potencial de Acidificación,PA,kg SO2 eq,12.40,12.1,0,0.3
Alambre galvanizado fabricado con material de desecho marca DEACERO,Potencial de Eutrofización,PE,kg PO4 eq,2.00,1.9,0,0.1
Alambre galvanizado fabricado con material de desecho marca DEACERO,Potencial de escasez de agua,EA,m3 eq,502.00,466.9,0.2,34.9
Alambre galvanizado fabricado con material de desecho marca DEACERO,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Alambre galvanizado fabricado con material de desecho marca DEACERO,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Alambre galvanizado fabricado con material de desecho marca DEACERO,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Alambre galvanizado fabricado con material de desecho marca DEACERO,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Alambre galvanizado fabricado con material de desecho marca DEACERO,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Alambre galvanizado fabricado con material de desecho marca DEACERO,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Cable de acero pretensado fabricado con material de desecho marca DEACERO,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.000242,0.000000768,0.0000455
Cable de acero pretensado fabricado con material de desecho marca DEACERO,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,9529.00,9447,7,75
Cable de acero pretensado fabricado con material de desecho marca DEACERO,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,705.40,637,46.4,22
Cable de acero pretensado fabricado con material de desecho marca DEACERO,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000108,7.96E-08,0.000000781
Cable de acero pretensado fabricado con material de desecho marca DEACERO,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.65,0.65,0.000191,0.00251
Cable de acero pretensado fabricado con material de desecho marca DEACERO,Potencial de Acidificación,PA,kg SO2 eq,4.76,4.7,0.00556,0.05
Cable de acero pretensado fabricado con material de desecho marca DEACERO,Potencial de Eutrofización,PE,kg PO4 eq,0.32,0.31,0.000694,0.01
Cable de acero pretensado fabricado con material de desecho marca DEACERO,Potencial de escasez de agua,EA,m3 eq,0.00,0.000242,0.000000768,0.0000455
Cable de acero pretensado fabricado con material de desecho marca DEACERO,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Cable de acero pretensado fabricado con material de desecho marca DEACERO,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Cable de acero pretensado fabricado con material de desecho marca DEACERO,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Cable de acero pretensado fabricado con material de desecho marca DEACERO,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Cable de acero pretensado fabricado con material de desecho marca DEACERO,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Cable de acero pretensado fabricado con material de desecho marca DEACERO,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Viga de acero perfil 'H' fabricada con material de desecho marca DEACERO,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.000182,0.000029,0.00000507
Viga de acero perfil 'H' fabricada con material de desecho marca DEACERO,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,11969.00,11203,238,528
Viga de acero perfil 'H' fabricada con material de desecho marca DEACERO,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,854.40,580,15.4,259
Viga de acero perfil 'H' fabricada con material de desecho marca DEACERO,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.0000693,0.00000267,0.00000357
Viga de acero perfil 'H' fabricada con material de desecho marca DEACERO,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,1.58,0.59,0.00322,0.99
Viga de acero perfil 'H' fabricada con material de desecho marca DEACERO,Potencial de Acidificación,PA,kg SO2 eq,5.59,5.08,0.08,0.43
Viga de acero perfil 'H' fabricada con material de desecho marca DEACERO,Potencial de Eutrofización,PE,kg PO4 eq,0.64,0.59,0.02,0.03
Viga de acero perfil 'H' fabricada con material de desecho marca DEACERO,Potencial de escasez de agua,EA,m3 eq,271.58,95.5,1.08,175
Viga de acero perfil 'H' fabricada con material de desecho marca DEACERO,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Viga de acero perfil 'H' fabricada con material de desecho marca DEACERO,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Viga de acero perfil 'H' fabricada con material de desecho marca DEACERO,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Viga de acero perfil 'H' fabricada con material de desecho marca DEACERO,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Viga de acero perfil 'H' fabricada con material de desecho marca DEACERO,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Viga de acero perfil 'H' fabricada con material de desecho marca DEACERO,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Placa de acero laminada en caliente marca AHMSA,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.01,0.00933,0.000146,0.00017
Placa de acero laminada en caliente marca AHMSA,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,51288.00,43157,1342,6789
Placa de acero laminada en caliente marca AHMSA,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1885.00,1178,94,613
Placa de acero laminada en caliente marca AHMSA,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000149,0.0000187,0.0000302
Placa de acero laminada en caliente marca AHMSA,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,1.05,0.7,0.03,0.32
Placa de acero laminada en caliente marca AHMSA,Potencial de Acidificación,PA,kg SO2 eq,16.90,10.97,0.77,5.16
Placa de acero laminada en caliente marca AHMSA,Potencial de Eutrofización,PE,kg PO4 eq,5.55,3.53,0.15,1.87
Placa de acero laminada en caliente marca AHMSA,Potencial de escasez de agua,EA,m3 eq,349528.00,347482,27,2019
Placa de acero laminada en caliente marca AHMSA,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Placa de acero laminada en caliente marca AHMSA,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Placa de acero laminada en caliente marca AHMSA,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Placa de acero laminada en caliente marca AHMSA,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Placa de acero laminada en caliente marca AHMSA,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Placa de acero laminada en caliente marca AHMSA,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Viga de acero perfil 'W' fabricada con material de desecho marca AHMSA,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00437,0.0000683,0.000345
Viga de acero perfil 'W' fabricada con material de desecho marca AHMSA,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,20542.00,16868,620,3054
Viga de acero perfil 'W' fabricada con material de desecho marca AHMSA,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,820.00,500,43,277
Viga de acero perfil 'W' fabricada con material de desecho marca AHMSA,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.0000542,0.00000784,0.0000133
Viga de acero perfil 'W' fabricada con material de desecho marca AHMSA,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.44,0.28,0.01,0.15
Viga de acero perfil 'W' fabricada con material de desecho marca AHMSA,Potencial de Acidificación,PA,kg SO2 eq,6.66,4.21,0.35,2.1
Viga de acero perfil 'W' fabricada con material de desecho marca AHMSA,Potencial de Eutrofización,PE,kg PO4 eq,2.42,1.63,0.07,0.72
Viga de acero perfil 'W' fabricada con material de desecho marca AHMSA,Potencial de escasez de agua,EA,m3 eq,138933.00,138116,12,805
Viga de acero perfil 'W' fabricada con material de desecho marca AHMSA,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Viga de acero perfil 'W' fabricada con material de desecho marca AHMSA,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Viga de acero perfil 'W' fabricada con material de desecho marca AHMSA,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Viga de acero perfil 'W' fabricada con material de desecho marca AHMSA,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Viga de acero perfil 'W' fabricada con material de desecho marca AHMSA,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Viga de acero perfil 'W' fabricada con material de desecho marca AHMSA,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Viga de acero perfil 'C' fabricada con material de desecho marca AHMSA,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00437,0.0000683,0.000345
Viga de acero perfil 'C' fabricada con material de desecho marca AHMSA,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,20542.00,16868,620,3054
Viga de acero perfil 'C' fabricada con material de desecho marca AHMSA,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,820.00,500,43,277
Viga de acero perfil 'C' fabricada con material de desecho marca AHMSA,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.0000542,0.00000784,0.0000133
Viga de acero perfil 'C' fabricada con material de desecho marca AHMSA,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.44,0.28,0.01,0.15
Viga de acero perfil 'C' fabricada con material de desecho marca AHMSA,Potencial de Acidificación,PA,kg SO2 eq,6.66,4.21,0.35,2.1
Viga de acero perfil 'C' fabricada con material de desecho marca AHMSA,Potencial de Eutrofización,PE,kg PO4 eq,2.42,1.63,0.07,0.72
Viga de acero perfil 'C' fabricada con material de desecho marca AHMSA,Potencial de escasez de agua,EA,m3 eq,138933.00,138116,12,805
Viga de acero perfil 'C' fabricada con material de desecho marca AHMSA,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Viga de acero perfil 'C' fabricada con material de desecho marca AHMSA,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Viga de acero perfil 'C' fabricada con material de desecho marca AHMSA,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Viga de acero perfil 'C' fabricada con material de desecho marca AHMSA,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Viga de acero perfil 'C' fabricada con material de desecho marca AHMSA,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Viga de acero perfil 'C' fabricada con material de desecho marca AHMSA,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Viga de acero perfil 'L' fabricada con material de desecho marca AHMSA,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00437,0.0000683,0.000345
Viga de acero perfil 'L' fabricada con material de desecho marca AHMSA,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,20542.00,16868,620,3054
Viga de acero perfil 'L' fabricada con material de desecho marca AHMSA,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,820.00,500,43,277
Viga de acero perfil 'L' fabricada con material de desecho marca AHMSA,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.0000542,0.00000784,0.0000133
Viga de acero perfil 'L' fabricada con material de desecho marca AHMSA,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.44,0.28,0.01,0.15
Viga de acero perfil 'L' fabricada con material de desecho marca AHMSA,Potencial de Acidificación,PA,kg SO2 eq,6.66,4.21,0.35,2.1
Viga de acero perfil 'L' fabricada con material de desecho marca AHMSA,Potencial de Eutrofización,PE,kg PO4 eq,2.42,1.63,0.07,0.72
Viga de acero perfil 'L' fabricada con material de desecho marca AHMSA,Potencial de escasez de agua,EA,m3 eq,138933.00,138116,12,805
Viga de acero perfil 'L' fabricada con material de desecho marca AHMSA,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Viga de acero perfil 'L' fabricada con material de desecho marca AHMSA,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Viga de acero perfil 'L' fabricada con material de desecho marca AHMSA,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Viga de acero perfil 'L' fabricada con material de desecho marca AHMSA,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Viga de acero perfil 'L' fabricada con material de desecho marca AHMSA,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Viga de acero perfil 'L' fabricada con material de desecho marca AHMSA,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Rollo de acero laminado en calientemarca AHMSA,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.01,0.00792,0.000124,0.00059
Rollo de acero laminado en calientemarca AHMSA,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,40735.00,34735,1133,4867
Rollo de acero laminado en calientemarca AHMSA,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1510.00,989,79,442
Rollo de acero laminado en calientemarca AHMSA,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000119,0.0000151,0.0000212
Rollo de acero laminado en calientemarca AHMSA,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.81,0.58,0.02,0.21
Rollo de acero laminado en calientemarca AHMSA,Potencial de Acidificación,PA,kg SO2 eq,13.37,9.06,0.65,3.66
Rollo de acero laminado en calientemarca AHMSA,Potencial de Eutrofización,PE,kg PO4 eq,4.49,2.99,0.13,1.37
Rollo de acero laminado en calientemarca AHMSA,Potencial de escasez de agua,EA,m3 eq,292297.00,290764,23,1510
Rollo de acero laminado en calientemarca AHMSA,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Rollo de acero laminado en calientemarca AHMSA,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Rollo de acero laminado en calientemarca AHMSA,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Rollo de acero laminado en calientemarca AHMSA,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Rollo de acero laminado en calientemarca AHMSA,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Rollo de acero laminado en calientemarca AHMSA,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00000236,0.00000111,1.52E-08
Panel de yeso marca USG tablaroca,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,49.20,44.2,4.24,0.758
Panel de yeso marca USG tablaroca,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,2.96,1.34,0.292,1.33
Panel de yeso marca USG tablaroca,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.00000022,8.59E-08,1.13E-09
Panel de yeso marca USG tablaroca,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,0.000989,0.0000544,0.0000263
Panel de yeso marca USG tablaroca,Potencial de Acidificación,PA,kg SO2 eq,0.01,0.012,0.00114,0.00023
Panel de yeso marca USG tablaroca,Potencial de Eutrofización,PE,kg PO4 eq,0.00,0.00243,0.000279,0.0000479
Panel de yeso marca USG tablaroca,Potencial de escasez de agua,EA,m3 eq,1.20,0.0869,0.0512,1.06
Panel de yeso marca USG tablaroca,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel de yeso marca USG tablaroca,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel de yeso marca USG tablaroca,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Ultralight,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00000346,0.00000078,2.01E-08
Panel de yeso marca USG tablaroca Ultralight,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,40.01,36.2,3.39,0.419
Panel de yeso marca USG tablaroca Ultralight,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1.85,0.968,0.234,0.646
Panel de yeso marca USG tablaroca Ultralight,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000000179,7.39E-08,1.09E-09
Panel de yeso marca USG tablaroca Ultralight,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,0.000784,0.0000436,0.000223
Panel de yeso marca USG tablaroca Ultralight,Potencial de Acidificación,PA,kg SO2 eq,0.02,0.00946,0.000916,0.00512
Panel de yeso marca USG tablaroca Ultralight,Potencial de Eutrofización,PE,kg PO4 eq,0.00,0.00203,0.000224,0.0000269
Panel de yeso marca USG tablaroca Ultralight,Potencial de escasez de agua,EA,m3 eq,0.33,0.0551,0.0283,0.247
Panel de yeso marca USG tablaroca Ultralight,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel de yeso marca USG tablaroca Ultralight,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel de yeso marca USG tablaroca Ultralight,Human toxicity,,"kg 1,4-DB eq",0.00,,,
