Material,Categoría de impacto,Abreviación,Unidad,A1-A3,A1,A2,A3
Lámina de cobre_Copper sheet - 1.2 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,162.00,,,
Lámina de cobre_Copper sheet - 2 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,270.00,,,
Lámina de cobre_Copper sheet - 3 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,405.00,,,
Alambre de cobre_Copper wire,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,41.80,,,
Alambre de cobre_Bare wire - 2 mm dia.,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.34,,,
Alambre de cobre_Bare wire - 3.2 mm dia.,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.87,,,
Acero inoxidable_Cold rolled stainless steel,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,9.20,,,
Acero inoxidable_Stainless steel extruded,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,11.80,,,
Acero inoxidable_Stainless steel sheet,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,7.20,,,
Acero inoxidable_Stainless steel sheet products,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,14.70,,,
Acero inoxidable_Stainless steel wire,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,13.90,,,
Cable de acero_Wire Rope - 1.6 mm dia.,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.15,,,
Cable de acero_Wire Rope - 4 mm dia.,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.87,,,
Cable de acero_Wire Rope - 8 mm dia.,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3.60,,,
Cable de acero_Wire Rope - 12 mm dia.,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,7.80,,,
Acero laminado_Cold rolled steel,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3.70,,,
Acero estructural galvanizado_Hot rolled galvanised structural steel,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3.30,,,
Acero estructural laminado_Hot rolled structural steel,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,2.90,,,
Tubo cuadrado de acero_Square tube - 20 × 20 mm; 1.6 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,4.60,,,
Tubo cuadrado de acero_Square tube - 50 × 50 mm; 2 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,14.50,,,
